,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
152,Uruguay,Americas,911617.39,3554915.0,30 Jun 2021,6.550829220966689,911.62K,3.55M
153,Saudi Arabia,Asia,854313.85,35013414.0,1 Jul 2020,7.544234458924818,854.31K,35.01M
154,Suriname,Americas,648635.99,598000.0,1 Jul 2019,5.776701183988411,648.64K,598.00K
155,Latvia,Europe,618511.8,1874900.0,1 Dec 2021,6.2729781090736845,618.51K,1.87M
156,Hong Kong,Asia,603452.0,7403100.0,31 Dec 2021,6.869413615808633,603.45K,7.40M
157,Guyana,Americas,566525.0,743699.0,1 Jul 2019,5.871397197522479,566.52K,743.70K
158,Vanuatu,Oceania,556750.0,301295.0,1 Jul 2021,5.478991924602573,556.75K,301.30K
159,Bhutan,Asia,555707.23,763200.0,30 May 2022,5.8826383616960385,555.71K,763.20K
160,Bahrain,Asia,555650.17,1501635.0,17 Mar 2020,6.17656438223564,555.65K,1.50M
161,Seychelles,Africa,528744.0,99202.0,30 Jun 2021,4.996520428003049,528.74K,99.20K
162,Portugal,Europe,524994.19,10347892.0,22 Mar 2021,7.014851887376472,524.99K,10.35M
163,Slovakia,Europe,455638.0,5434712.0,31 Dec 2021,6.735176534599901,455.64K,5.43M
165,Trinidad and Tobago,Americas,402666.11,1367558.0,30 Jun 2021,6.135945754417381,402.67K,1.37M
166,Hungary,Europe,366629.21,9689000.0,1 Jan 2022,6.986278955905991,366.63K,9.69M
167,Equatorial Guinea,Africa,359372.0,1505588.0,1 Jul 2021,6.177706144636216,359.37K,1.51M
168,Estonia,Europe,344688.0,1331796.0,1 Jan 2022,6.12443770617108,344.69K,1.33M
169,Iceland,Europe,321725.0,377280.0,31 Mar 2022,5.576663783414995,321.73K,377.28K
170,St. Vincent and the Grenadines,Americas,258581.0,110696.0,1 Jul 2020,5.044131927930993,258.58K,110.70K
171,Brunei Darussalam,Asia,222324.0,429999.0,1 Jul 2021,5.633467445591245,222.32K,430.00K
172,French Polynesia,Oceania,214795.0,279890.0,1 Jul 2021,5.446987382130324,214.79K,279.89K
173,St. Kitts and Nevis,Americas,208647.0,54000.0,1 Jul 2021,4.732393759822968,208.65K,54.00K
